"UserPrincipalName","SkuPartNumber","DisabledPlans"
"olivia.bennett@los.onl","SPE_E3",""
"ethan.clark@los.onl","SPE_E3",""
"mia.rodriguez@los.onl","SPE_E3",""
"noah.patel@los.onl","SPE_E3",""
"ava.nguyen@los.onl","SPE_E3",""
"liam.kim@los.onl","SPE_E3",""
"sophia.turner@los.onl","SPE_E3",""
"jackson.hall@los.onl","SPE_E3",""
"isabella.ross@los.onl","SPE_E3",""
"logan.reed@los.onl","SPE_E3",""
"emma.foster@los.onl","SPE_E3",""
"mason.carter@los.onl","SPE_E3",""
"amelia.bailey@los.onl","SPE_E3",""
"lucas.wright@los.onl","SPE_E3",""
"harper.collins@los.onl","SPE_E3",""
"benjamin.morris@los.onl","SPE_E3",""
"evelyn.hughes@los.onl","SPE_E3",""
"henry.flores@los.onl","SPE_E3",""
"charlotte.sanders@los.onl","SPE_E3",""
"daniel.brooks@los.onl","SPE_E3",""
