"DistributionGroupIdentity","MemberUserPrincipalName","BypassSecurityGroupManagerCheck"
"finance-updates@los.onl","daniel.brooks@los.onl","FALSE"
"finance-updates@los.onl","harper.collins@los.onl","FALSE"
"finance-updates@los.onl","noah.patel@los.onl","FALSE"
"hr-announcements@los.onl","emma.foster@los.onl","FALSE"
"hr-announcements@los.onl","mia.rodriguez@los.onl","FALSE"
"it-alerts@los.onl","benjamin.morris@los.onl","FALSE"
"it-alerts@los.onl","ethan.clark@los.onl","FALSE"
"it-alerts@los.onl","henry.flores@los.onl","FALSE"
"it-alerts@los.onl","jackson.hall@los.onl","FALSE"
"it-alerts@los.onl","logan.reed@los.onl","FALSE"
"leadership-comms@los.onl","charlotte.sanders@los.onl","FALSE"
"leadership-comms@los.onl","olivia.bennett@los.onl","FALSE"
"marketing-updates@los.onl","evelyn.hughes@los.onl","FALSE"
"marketing-updates@los.onl","sophia.turner@los.onl","FALSE"
"operations-announcements@los.onl","ava.nguyen@los.onl","FALSE"
"operations-announcements@los.onl","mason.carter@los.onl","FALSE"
"project-steering@los.onl","isabella.ross@los.onl","FALSE"
"sales-announcements@los.onl","amelia.bailey@los.onl","FALSE"
"sales-announcements@los.onl","liam.kim@los.onl","FALSE"
"sales-announcements@los.onl","lucas.wright@los.onl","FALSE"
