"GroupDisplayName","UserPrincipalName"
"Q365-SG-Finance","daniel.brooks@los.onl"
"Q365-SG-Finance","harper.collins@los.onl"
"Q365-SG-Finance","noah.patel@los.onl"
"Q365-SG-HR","emma.foster@los.onl"
"Q365-SG-HR","mia.rodriguez@los.onl"
"Q365-SG-IT","benjamin.morris@los.onl"
"Q365-SG-IT","ethan.clark@los.onl"
"Q365-SG-Leadership","ava.nguyen@los.onl"
"Q365-SG-Leadership","ethan.clark@los.onl"
"Q365-SG-Leadership","isabella.ross@los.onl"
"Q365-SG-Leadership","liam.kim@los.onl"
"Q365-SG-Leadership","mia.rodriguez@los.onl"
"Q365-SG-Leadership","noah.patel@los.onl"
"Q365-SG-Leadership","olivia.bennett@los.onl"
"Q365-SG-Leadership","sophia.turner@los.onl"
"Q365-SG-Marketing","evelyn.hughes@los.onl"
"Q365-SG-Marketing","sophia.turner@los.onl"
"Q365-SG-Operations","ava.nguyen@los.onl"
"Q365-SG-Operations","isabella.ross@los.onl"
"Q365-SG-Operations","mason.carter@los.onl"
"Q365-SG-Sales","amelia.bailey@los.onl"
"Q365-SG-Sales","liam.kim@los.onl"
"Q365-SG-Sales","lucas.wright@los.onl"
"Q365-SG-Security","logan.reed@los.onl"
"Q365-SG-Support","henry.flores@los.onl"
"Q365-SG-Support","jackson.hall@los.onl"
