"MailboxIdentity","TrusteeUserPrincipalName","FullAccess","SendAs","SendOnBehalf","AutoMapping"
"shared.operations@los.onl","ava.nguyen@los.onl","TRUE","FALSE","FALSE","TRUE"
"shared.operations@los.onl","olivia.bennett@los.onl","FALSE","TRUE","FALSE","FALSE"
"shared.hr@los.onl","mia.rodriguez@los.onl","TRUE","FALSE","FALSE","TRUE"
"shared.hr@los.onl","charlotte.sanders@los.onl","FALSE","FALSE","TRUE","FALSE"
"shared.finance@los.onl","noah.patel@los.onl","TRUE","FALSE","FALSE","TRUE"
"shared.finance@los.onl","harper.collins@los.onl","FALSE","TRUE","FALSE","FALSE"
"shared.it@los.onl","ethan.clark@los.onl","TRUE","FALSE","FALSE","TRUE"
"shared.it@los.onl","logan.reed@los.onl","FALSE","FALSE","TRUE","FALSE"
"shared.projects@los.onl","isabella.ross@los.onl","TRUE","FALSE","FALSE","TRUE"
"shared.projects@los.onl","ava.nguyen@los.onl","FALSE","TRUE","FALSE","FALSE"
