"UserPrincipalName","DisplayName","GivenName","Surname","MailNickname","Password","ForceChangePasswordNextSignIn","AccountEnabled","UsageLocation","Department","JobTitle","MobilePhone","BusinessPhones"
"olivia.bennett@los.onl","Olivia Bennett","Olivia","Bennett","olivia.bennett","TempP@ssword123!","TRUE","TRUE","US","Executive","Chief Executive Officer","15551231001","15551231001"
"ethan.clark@los.onl","Ethan Clark","Ethan","Clark","ethan.clark","TempP@ssword123!","TRUE","TRUE","US","IT","Director of IT","15551231002","15551231002"
"mia.rodriguez@los.onl","Mia Rodriguez","Mia","Rodriguez","mia.rodriguez","TempP@ssword123!","TRUE","TRUE","US","HR","Director of People Operations","15551231003","15551231003"
"noah.patel@los.onl","Noah Patel","Noah","Patel","noah.patel","TempP@ssword123!","TRUE","TRUE","US","Finance","Finance Manager","15551231004","15551231004"
"ava.nguyen@los.onl","Ava Nguyen","Ava","Nguyen","ava.nguyen","TempP@ssword123!","TRUE","TRUE","US","Operations","Operations Manager","15551231005","15551231005"
"liam.kim@los.onl","Liam Kim","Liam","Kim","liam.kim","TempP@ssword123!","TRUE","TRUE","US","Sales","Sales Manager","15551231006","15551231006"
"sophia.turner@los.onl","Sophia Turner","Sophia","Turner","sophia.turner","TempP@ssword123!","TRUE","TRUE","US","Marketing","Marketing Manager","15551231007","15551231007"
"jackson.hall@los.onl","Jackson Hall","Jackson","Hall","jackson.hall","TempP@ssword123!","TRUE","TRUE","US","Support","Support Lead","15551231008","15551231008"
"isabella.ross@los.onl","Isabella Ross","Isabella","Ross","isabella.ross","TempP@ssword123!","TRUE","TRUE","US","PMO","Project Manager","15551231009","15551231009"
"logan.reed@los.onl","Logan Reed","Logan","Reed","logan.reed","TempP@ssword123!","TRUE","TRUE","US","Security","Security Analyst","15551231010","15551231010"
"emma.foster@los.onl","Emma Foster","Emma","Foster","emma.foster","TempP@ssword123!","TRUE","TRUE","US","HR","HR Specialist","15551231011","15551231011"
"mason.carter@los.onl","Mason Carter","Mason","Carter","mason.carter","TempP@ssword123!","TRUE","TRUE","US","Operations","Operations Specialist","15551231012","15551231012"
"amelia.bailey@los.onl","Amelia Bailey","Amelia","Bailey","amelia.bailey","TempP@ssword123!","TRUE","TRUE","US","Sales","Account Executive","15551231013","15551231013"
"lucas.wright@los.onl","Lucas Wright","Lucas","Wright","lucas.wright","TempP@ssword123!","TRUE","TRUE","US","Sales","Account Executive","15551231014","15551231014"
"harper.collins@los.onl","Harper Collins","Harper","Collins","harper.collins","TempP@ssword123!","TRUE","TRUE","US","Finance","Finance Analyst","15551231015","15551231015"
"benjamin.morris@los.onl","Benjamin Morris","Benjamin","Morris","benjamin.morris","TempP@ssword123!","TRUE","TRUE","US","IT","Systems Administrator","15551231016","15551231016"
"evelyn.hughes@los.onl","Evelyn Hughes","Evelyn","Hughes","evelyn.hughes","TempP@ssword123!","TRUE","TRUE","US","Marketing","Marketing Specialist","15551231017","15551231017"
"henry.flores@los.onl","Henry Flores","Henry","Flores","henry.flores","TempP@ssword123!","TRUE","TRUE","US","Support","Support Engineer","15551231018","15551231018"
"charlotte.sanders@los.onl","Charlotte Sanders","Charlotte","Sanders","charlotte.sanders","TempP@ssword123!","TRUE","TRUE","US","Executive","Executive Assistant","15551231019","15551231019"
"daniel.brooks@los.onl","Daniel Brooks","Daniel","Brooks","daniel.brooks","TempP@ssword123!","TRUE","TRUE","CA","Legal","Legal Counsel","15551231020","15551231020"
