"Action","Notes","GroupIdentityType","GroupIdentityValue","MemberIdentityType","MemberIdentityValue","MemberAction"
"Add","Add Olivia Bennett to distribution baseline","SamAccountName","DG_Leadership","UserPrincipalName","olivia.bennett@corp.contoso.com","Add"
"Add","Add Ethan Clark to distribution baseline","SamAccountName","DG_IT_Alerts","UserPrincipalName","ethan.clark@corp.contoso.com","Add"
"Add","Add Mia Rodriguez to distribution baseline","SamAccountName","DG_HR_Announcements","UserPrincipalName","mia.rodriguez@corp.contoso.com","Add"
"Add","Add Noah Patel to distribution baseline","SamAccountName","DG_Finance_Updates","UserPrincipalName","noah.patel@corp.contoso.com","Add"
"Add","Add Ava Nguyen to distribution baseline","SamAccountName","DG_ProjectPhoenix","UserPrincipalName","ava.nguyen@corp.contoso.com","Add"
"Add","Add Liam Kim to distribution baseline","SamAccountName","DG_AllStaff","UserPrincipalName","liam.kim@corp.contoso.com","Add"
"Add","Add Sophia Turner to distribution baseline","SamAccountName","DG_AllStaff","UserPrincipalName","sophia.turner@corp.contoso.com","Add"
"Add","Add Jackson Hall to distribution baseline","SamAccountName","DG_ProjectPhoenix","UserPrincipalName","jackson.hall@corp.contoso.com","Add"
"Add","Add Isabella Ross to distribution baseline","SamAccountName","DG_ProjectPhoenix","UserPrincipalName","isabella.ross@corp.contoso.com","Add"
"Add","Add Logan Reed to distribution baseline","SamAccountName","DG_IT_Alerts","UserPrincipalName","logan.reed@corp.contoso.com","Add"
"Add","Add Emma Foster to distribution baseline","SamAccountName","DG_HR_Announcements","UserPrincipalName","emma.foster@corp.contoso.com","Add"
"Add","Add Mason Carter to distribution baseline","SamAccountName","DG_Finance_Updates","UserPrincipalName","mason.carter@corp.contoso.com","Add"
"Add","Add Amelia Bailey to distribution baseline","SamAccountName","DG_AllStaff","UserPrincipalName","amelia.bailey@corp.contoso.com","Add"
"Add","Add Lucas Wright to distribution baseline","SamAccountName","DG_AllStaff","UserPrincipalName","lucas.wright@corp.contoso.com","Add"
"Add","Add Harper Collins to distribution baseline","SamAccountName","DG_Finance_Updates","UserPrincipalName","harper.collins@corp.contoso.com","Add"
"Add","Add Benjamin Morris to distribution baseline","SamAccountName","DG_IT_Alerts","UserPrincipalName","benjamin.morris@corp.contoso.com","Add"
"Add","Add Evelyn Hughes to distribution baseline","SamAccountName","DG_AllStaff","UserPrincipalName","evelyn.hughes@corp.contoso.com","Add"
"Add","Add Henry Flores to distribution baseline","SamAccountName","DG_IT_Alerts","UserPrincipalName","henry.flores@corp.contoso.com","Add"
"Add","Add Charlotte Sanders to distribution baseline","SamAccountName","DG_Leadership","UserPrincipalName","charlotte.sanders@corp.contoso.com","Add"
"Add","Add Daniel Brooks to distribution baseline","SamAccountName","DG_Finance_Updates","UserPrincipalName","daniel.brooks@corp.contoso.com","Add"
"Remove","Example removal for Olivia Bennett","SamAccountName","DG_Leadership","UserPrincipalName","olivia.bennett@corp.contoso.com","Remove"
"Remove","Example removal for Ethan Clark","SamAccountName","DG_IT_Alerts","UserPrincipalName","ethan.clark@corp.contoso.com","Remove"
"Remove","Example removal for Mia Rodriguez","SamAccountName","DG_HR_Announcements","UserPrincipalName","mia.rodriguez@corp.contoso.com","Remove"
"Remove","Example removal for Noah Patel","SamAccountName","DG_Finance_Updates","UserPrincipalName","noah.patel@corp.contoso.com","Remove"
"Remove","Example removal for Ava Nguyen","SamAccountName","DG_ProjectPhoenix","UserPrincipalName","ava.nguyen@corp.contoso.com","Remove"
"Remove","Example removal for Liam Kim","SamAccountName","DG_AllStaff","UserPrincipalName","liam.kim@corp.contoso.com","Remove"
