"Action","Notes","IdentityType","IdentityValue","ClearAttributes","SamAccountName","UserPrincipalName","GivenName","Initials","Surname","DisplayName","Name","Description","EmployeeID","EmployeeNumber","EmployeeType","Enabled","AccountPassword","ChangePasswordAtLogon","PasswordNeverExpires","CannotChangePassword","SmartcardLogonRequired","AccountExpirationDate","UserWorkstations","ScriptPath","ProfilePath","HomeDirectory","HomeDrive","Title","Department","Company","Division","Office","Manager","OfficePhone","MobilePhone","Mail","MailNickname","ProxyAddresses","TargetAddress","HideFromAddressLists","StreetAddress","PostOfficeBox","City","StateOrProvince","PostalCode","CountryCode","CountryName","CountryNumericCode","HomePhone","IpPhone","Fax","Pager","WebPage","ExtensionAttribute1","ExtensionAttribute2","ExtensionAttribute3","ExtensionAttribute4","ExtensionAttribute5","ExtensionAttribute6","ExtensionAttribute7","ExtensionAttribute8","ExtensionAttribute9","ExtensionAttribute10","ExtensionAttribute11","ExtensionAttribute12","ExtensionAttribute13","ExtensionAttribute14","ExtensionAttribute15","Path"
"Update","Quarterly profile refresh","UserPrincipalName","olivia.bennett@corp.contoso.com","","","","Olivia","","Bennett","Olivia Bennett","","Chief Executive Officer profile refresh","10001","E10001","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-001;WKSTN-301","login.bat","\\\\fs01\\profiles$\\olivia.bennett","\\\\fs01\\home$\\olivia.bennett","H:","Chief Executive Officer","Executive","Contoso","Leadership","Chicago-HQ","CN=Daniel Brooks,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4101","+1 312 555 9101","olivia.bennett@contoso.com","olivia.bennett","SMTP:olivia.bennett@contoso.com;smtp:obennett@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/olivia.bennett","LegalEntity=Contoso","CostCenter=10001","BusinessUnit=Leadership","Region=NA","MigrationWave=1","Department=Executive","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","ethan.clark@corp.contoso.com","","","","Ethan","","Clark","Ethan Clark","","Director of IT profile refresh","10002","E10002","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-002;WKSTN-302","login.bat","\\\\fs01\\profiles$\\ethan.clark","\\\\fs01\\home$\\ethan.clark","H:","Director of IT","IT","Contoso","Technology","Chicago-HQ","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4102","+1 312 555 9102","ethan.clark@contoso.com","ethan.clark","SMTP:ethan.clark@contoso.com;smtp:eclark@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/ethan.clark","LegalEntity=Contoso","CostCenter=10002","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","mia.rodriguez@corp.contoso.com","","","","Mia","","Rodriguez","Mia Rodriguez","","HR Director profile refresh","10003","E10003","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-003;WKSTN-303","login.bat","\\\\fs01\\profiles$\\mia.rodriguez","\\\\fs01\\home$\\mia.rodriguez","H:","HR Director","Human Resources","Contoso","PeopleOps","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4103","+1 312 555 9103","mia.rodriguez@contoso.com","mia.rodriguez","SMTP:mia.rodriguez@contoso.com;smtp:mrodriguez@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/mia.rodriguez","LegalEntity=Contoso","CostCenter=10003","BusinessUnit=PeopleOps","Region=NA","MigrationWave=1","Department=Human Resources","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","noah.patel@corp.contoso.com","HomePhone;Fax;Pager;ExtensionAttribute10","","","Noah","","Patel","Noah Patel","","Finance Manager profile refresh","10004","E10004","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-004;WKSTN-304","login.bat","\\\\fs01\\profiles$\\noah.patel","\\\\fs01\\home$\\noah.patel","H:","Finance Manager","Finance","Contoso","Finance","Chicago-HQ","CN=Daniel Brooks,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4104","+1 312 555 9104","noah.patel@contoso.com","noah.patel","SMTP:noah.patel@contoso.com;smtp:npatel@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/noah.patel","LegalEntity=Contoso","CostCenter=10004","BusinessUnit=Finance","Region=NA","MigrationWave=1","Department=Finance","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","ava.nguyen@corp.contoso.com","","","","Ava","","Nguyen","Ava Nguyen","","Chief Operating Officer profile refresh","10005","E10005","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-005;WKSTN-305","login.bat","\\\\fs01\\profiles$\\ava.nguyen","\\\\fs01\\home$\\ava.nguyen","H:","Chief Operating Officer","Operations","Contoso","Operations","Chicago-HQ","CN=Olivia Bennett,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4105","+1 312 555 9105","ava.nguyen@contoso.com","ava.nguyen","SMTP:ava.nguyen@contoso.com;smtp:anguyen@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/ava.nguyen","LegalEntity=Contoso","CostCenter=10005","BusinessUnit=Operations","Region=NA","MigrationWave=1","Department=Operations","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","liam.kim@corp.contoso.com","","","","Liam","","Kim","Liam Kim","","Director of Sales profile refresh","10006","E10006","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-006;WKSTN-306","login.bat","\\\\fs01\\profiles$\\liam.kim","\\\\fs01\\home$\\liam.kim","H:","Director of Sales","Sales","Contoso","Revenue","Dallas-HQ","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 214 555 4106","+1 214 555 9106","liam.kim@contoso.com","liam.kim","SMTP:liam.kim@contoso.com;smtp:lkim@contoso.com","","FALSE","450 N Akard St","","Dallas","TX","75201","US","United States","840","","","","","https://intranet.contoso.com/users/liam.kim","LegalEntity=Contoso","CostCenter=10006","BusinessUnit=Revenue","Region=NA","MigrationWave=1","Department=Sales","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","sophia.turner@corp.contoso.com","","","","Sophia","","Turner","Sophia Turner","","Director of Marketing profile refresh","10007","E10007","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-007;WKSTN-307","login.bat","\\\\fs01\\profiles$\\sophia.turner","\\\\fs01\\home$\\sophia.turner","H:","Director of Marketing","Marketing","Contoso","Growth","Chicago-HQ","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4107","+1 312 555 9107","sophia.turner@contoso.com","sophia.turner","SMTP:sophia.turner@contoso.com;smtp:sturner@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/sophia.turner","LegalEntity=Contoso","CostCenter=10007","BusinessUnit=Growth","Region=NA","MigrationWave=1","Department=Marketing","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","jackson.hall@corp.contoso.com","HomePhone;Fax;Pager;ExtensionAttribute10","","","Jackson","","Hall","Jackson Hall","","Engineering Manager profile refresh","10008","E10008","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-008;WKSTN-308","login.bat","\\\\fs01\\profiles$\\jackson.hall","\\\\fs01\\home$\\jackson.hall","H:","Engineering Manager","Engineering","Contoso","Product","Austin-Hub","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 737 555 4108","+1 737 555 9108","jackson.hall@contoso.com","jackson.hall","SMTP:jackson.hall@contoso.com;smtp:jhall@contoso.com","","FALSE","200 Congress Ave","","Austin","TX","78701","US","United States","840","","","","","https://intranet.contoso.com/users/jackson.hall","LegalEntity=Contoso","CostCenter=10008","BusinessUnit=Product","Region=NA","MigrationWave=1","Department=Engineering","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","isabella.ross@corp.contoso.com","","","","Isabella","","Ross","Isabella Ross","","Program Manager profile refresh","10009","E10009","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-009;WKSTN-309","login.bat","\\\\fs01\\profiles$\\isabella.ross","\\\\fs01\\home$\\isabella.ross","H:","Program Manager","Operations","Contoso","Operations","Dallas-HQ","CN=Ava Nguyen,OU=Users,OU=Corp,DC=contoso,DC=com","+1 214 555 4109","+1 214 555 9109","isabella.ross@contoso.com","isabella.ross","SMTP:isabella.ross@contoso.com;smtp:iross@contoso.com","","FALSE","450 N Akard St","","Dallas","TX","75201","US","United States","840","","","","","https://intranet.contoso.com/users/isabella.ross","LegalEntity=Contoso","CostCenter=10009","BusinessUnit=Operations","Region=NA","MigrationWave=1","Department=Operations","","","","","","","","","",""
"Update","Quarterly profile refresh","UserPrincipalName","logan.reed@corp.contoso.com","","","","Logan","","Reed","Logan Reed","","Senior Systems Engineer profile refresh","10010","E10010","Employee","TRUE","","","FALSE","FALSE","FALSE","","WKSTN-010;WKSTN-310","login.bat","\\\\fs01\\profiles$\\logan.reed","\\\\fs01\\home$\\logan.reed","H:","Senior Systems Engineer","IT","Contoso","Technology","Chicago-HQ","CN=Ethan Clark,OU=Users,OU=Corp,DC=contoso,DC=com","+1 312 555 4110","+1 312 555 9110","logan.reed@contoso.com","logan.reed","SMTP:logan.reed@contoso.com;smtp:lreed@contoso.com","","FALSE","100 W Adams St","","Chicago","IL","60606","US","United States","840","","","","","https://intranet.contoso.com/users/logan.reed","LegalEntity=Contoso","CostCenter=10010","BusinessUnit=Technology","Region=NA","MigrationWave=1","Department=IT","","","","","","","","","",""
