"MailboxIdentity","ForwardingMode","ForwardingSmtpAddress","ForwardingRecipientIdentity","DeliverToMailboxAndForward","ExpectedPrimarySmtpAddress","Notes"
"olivia.bennett@contoso.com","Smtp","olivia.bennett.forward@newco.com","","TRUE","olivia.bennett@contoso.com","Temporary external forward during carve-out transition"
"ethan.clark@contoso.com","Smtp","ethan.clark.forward@newco.com","","TRUE","ethan.clark@contoso.com","Temporary external forward during carve-out transition"
"mia.rodriguez@contoso.com","Smtp","mia.rodriguez.forward@newco.com","","TRUE","mia.rodriguez@contoso.com","Temporary external forward during carve-out transition"
"noah.patel@contoso.com","Smtp","noah.patel.forward@newco.com","","TRUE","noah.patel@contoso.com","Temporary external forward during carve-out transition"
"ava.nguyen@contoso.com","Smtp","ava.nguyen.forward@newco.com","","TRUE","ava.nguyen@contoso.com","Temporary external forward during carve-out transition"
"liam.kim@contoso.com","Smtp","liam.kim.forward@newco.com","","TRUE","liam.kim@contoso.com","Temporary external forward during carve-out transition"
"sophia.turner@contoso.com","Smtp","sophia.turner.forward@newco.com","","TRUE","sophia.turner@contoso.com","Temporary external forward during carve-out transition"
"jackson.hall@contoso.com","Smtp","jackson.hall.forward@newco.com","","TRUE","jackson.hall@contoso.com","Temporary external forward during carve-out transition"
"isabella.ross@contoso.com","Recipient","","operations-desk@contoso.com","FALSE","isabella.ross@contoso.com","Internal relay to shared operational mailbox"
"logan.reed@contoso.com","Recipient","","shared.support@contoso.com","FALSE","logan.reed@contoso.com","Internal relay to shared operational mailbox"
"emma.foster@contoso.com","Recipient","","hr-operations@contoso.com","FALSE","emma.foster@contoso.com","Internal relay to shared operational mailbox"
"mason.carter@contoso.com","Recipient","","finance-ops@contoso.com","FALSE","mason.carter@contoso.com","Internal relay to shared operational mailbox"
"amelia.bailey@contoso.com","Recipient","","operations-desk@contoso.com","FALSE","amelia.bailey@contoso.com","Internal relay to shared operational mailbox"
"lucas.wright@contoso.com","Recipient","","operations-desk@contoso.com","FALSE","lucas.wright@contoso.com","Internal relay to shared operational mailbox"
"harper.collins@contoso.com","Clear","","","FALSE","harper.collins@contoso.com","Clear any legacy forwarding for steady-state operations"
"benjamin.morris@contoso.com","Clear","","","FALSE","benjamin.morris@contoso.com","Clear any legacy forwarding for steady-state operations"
"evelyn.hughes@contoso.com","Clear","","","FALSE","evelyn.hughes@contoso.com","Clear any legacy forwarding for steady-state operations"
"henry.flores@contoso.com","Clear","","","FALSE","henry.flores@contoso.com","Clear any legacy forwarding for steady-state operations"
"charlotte.sanders@contoso.com","Clear","","","FALSE","charlotte.sanders@contoso.com","Clear any legacy forwarding for steady-state operations"
"daniel.brooks@contoso.com","Clear","","","FALSE","daniel.brooks@contoso.com","Clear any legacy forwarding for steady-state operations"
