"Action","Notes","UserPrincipalName","Password","ForceChangePasswordNextSignIn","ForceChangePasswordNextSignInWithMfa"
"ResetPassword","Standalone password reset campaign","olivia.bennett@los.onl","TempReset!M36501","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","ethan.clark@los.onl","TempReset!M36502","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","mia.rodriguez@los.onl","TempReset!M36503","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","noah.patel@los.onl","TempReset!M36504","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","ava.nguyen@los.onl","TempReset!M36505","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","liam.kim@los.onl","TempReset!M36506","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","sophia.turner@los.onl","TempReset!M36507","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","jackson.hall@los.onl","TempReset!M36508","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","isabella.ross@los.onl","TempReset!M36509","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","logan.reed@los.onl","TempReset!M36510","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","emma.foster@los.onl","TempReset!M36511","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","mason.carter@los.onl","TempReset!M36512","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","amelia.bailey@los.onl","TempReset!M36513","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","lucas.wright@los.onl","TempReset!M36514","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","harper.collins@los.onl","TempReset!M36515","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","benjamin.morris@los.onl","TempReset!M36516","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","evelyn.hughes@los.onl","TempReset!M36517","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","henry.flores@los.onl","TempReset!M36518","TRUE","TRUE"
"ResetPassword","Standalone password reset campaign","charlotte.sanders@los.onl","TempReset!M36519","TRUE","FALSE"
"ResetPassword","Standalone password reset campaign","daniel.brooks@los.onl","TempReset!M36520","TRUE","FALSE"
