"IdentityType","IdentityValue"
"All","*"
"UserPrincipalName","olivia.bennett@corp.contoso.com"
"UserPrincipalName","ethan.clark@corp.contoso.com"
"UserPrincipalName","mia.rodriguez@corp.contoso.com"
"UserPrincipalName","noah.patel@corp.contoso.com"
"UserPrincipalName","ava.nguyen@corp.contoso.com"
"UserPrincipalName","liam.kim@corp.contoso.com"
"UserPrincipalName","sophia.turner@corp.contoso.com"
"UserPrincipalName","jackson.hall@corp.contoso.com"
"UserPrincipalName","isabella.ross@corp.contoso.com"
"UserPrincipalName","logan.reed@corp.contoso.com"
"UserPrincipalName","emma.foster@corp.contoso.com"
"UserPrincipalName","mason.carter@corp.contoso.com"
"UserPrincipalName","amelia.bailey@corp.contoso.com"
"UserPrincipalName","lucas.wright@corp.contoso.com"
"UserPrincipalName","harper.collins@corp.contoso.com"
"UserPrincipalName","benjamin.morris@corp.contoso.com"
"UserPrincipalName","evelyn.hughes@corp.contoso.com"
"UserPrincipalName","henry.flores@corp.contoso.com"
"UserPrincipalName","charlotte.sanders@corp.contoso.com"
"UserPrincipalName","daniel.brooks@corp.contoso.com"
