"MailboxIdentity","ExternalEmailAddress","PreserveLegacyExchangeDnAsX500","PreserveExistingProxyAddresses","DisableEmailAddressPolicy","ExpectedPrimarySmtpAddress","TargetAlias","Notes"
"olivia.bennett@contoso.com","olivia.bennett@newco.com","TRUE","TRUE","TRUE","olivia.bennett@contoso.com","olivia.bennett","Carve-out conversion to remote routing"
"ethan.clark@contoso.com","ethan.clark@newco.com","TRUE","TRUE","TRUE","ethan.clark@contoso.com","ethan.clark","Carve-out conversion to remote routing"
"mia.rodriguez@contoso.com","mia.rodriguez@newco.com","TRUE","TRUE","TRUE","mia.rodriguez@contoso.com","mia.rodriguez","Carve-out conversion to remote routing"
"noah.patel@contoso.com","noah.patel@newco.com","TRUE","TRUE","TRUE","noah.patel@contoso.com","noah.patel","Carve-out conversion to remote routing"
"ava.nguyen@contoso.com","ava.nguyen@newco.com","TRUE","TRUE","TRUE","ava.nguyen@contoso.com","ava.nguyen","Carve-out conversion to remote routing"
"liam.kim@contoso.com","liam.kim@newco.com","TRUE","TRUE","TRUE","liam.kim@contoso.com","liam.kim","Carve-out conversion to remote routing"
"sophia.turner@contoso.com","sophia.turner@newco.com","TRUE","TRUE","TRUE","sophia.turner@contoso.com","sophia.turner","Carve-out conversion to remote routing"
"jackson.hall@contoso.com","jackson.hall@newco.com","TRUE","TRUE","TRUE","jackson.hall@contoso.com","jackson.hall","Carve-out conversion to remote routing"
"isabella.ross@contoso.com","isabella.ross@newco.com","TRUE","TRUE","TRUE","isabella.ross@contoso.com","isabella.ross","Carve-out conversion to remote routing"
"logan.reed@contoso.com","logan.reed@newco.com","TRUE","TRUE","TRUE","logan.reed@contoso.com","logan.reed","Carve-out conversion to remote routing"
"emma.foster@contoso.com","emma.foster@newco.com","TRUE","TRUE","TRUE","emma.foster@contoso.com","emma.foster","Carve-out conversion to remote routing"
"mason.carter@contoso.com","mason.carter@newco.com","TRUE","TRUE","TRUE","mason.carter@contoso.com","mason.carter","Carve-out conversion to remote routing"
"amelia.bailey@contoso.com","amelia.bailey@newco.com","TRUE","TRUE","TRUE","amelia.bailey@contoso.com","amelia.bailey","Carve-out conversion to remote routing"
"lucas.wright@contoso.com","lucas.wright@newco.com","TRUE","TRUE","TRUE","lucas.wright@contoso.com","lucas.wright","Carve-out conversion to remote routing"
"harper.collins@contoso.com","harper.collins@newco.com","TRUE","TRUE","TRUE","harper.collins@contoso.com","harper.collins","Carve-out conversion to remote routing"
"benjamin.morris@contoso.com","benjamin.morris@newco.com","TRUE","TRUE","TRUE","benjamin.morris@contoso.com","benjamin.morris","Carve-out conversion to remote routing"
"evelyn.hughes@contoso.com","evelyn.hughes@newco.com","TRUE","TRUE","TRUE","evelyn.hughes@contoso.com","evelyn.hughes","Carve-out conversion to remote routing"
"henry.flores@contoso.com","henry.flores@newco.com","TRUE","TRUE","TRUE","henry.flores@contoso.com","henry.flores","Carve-out conversion to remote routing"
"charlotte.sanders@contoso.com","charlotte.sanders@newco.com","TRUE","TRUE","TRUE","charlotte.sanders@contoso.com","charlotte.sanders","Carve-out conversion to remote routing"
"daniel.brooks@contoso.com","daniel.brooks@newco.com","TRUE","TRUE","TRUE","daniel.brooks@contoso.com","daniel.brooks","Carve-out conversion to remote routing"
