"MailboxIdentity","DelegateIdentity","PermissionType","PermissionAction","AutoMapping","Notes"
"olivia.bennett@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"ethan.clark@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"mia.rodriguez@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"noah.patel@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"ava.nguyen@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"liam.kim@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"sophia.turner@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"jackson.hall@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"isabella.ross@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"logan.reed@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"emma.foster@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"mason.carter@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"amelia.bailey@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"lucas.wright@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"harper.collins@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"benjamin.morris@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"evelyn.hughes@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"henry.flores@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"charlotte.sanders@contoso.com","svc_bittitan","FullAccess","Add","FALSE","Grant MigrationWiz service mailbox access"
"daniel.brooks@contoso.com","svc_bittitan","FullAccess","Remove","FALSE","Remove delegation after migration cutover"
