"SharedMailboxIdentity","TrusteeUserPrincipalName","FullAccess","ReadOnly","SendAs","SendOnBehalf","AutoMapping"
"shared.operations@los.onl","ava.nguyen@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
"shared.operations@los.onl","mason.carter@los.onl","FALSE","TRUE","FALSE","FALSE","FALSE"
"shared.operations@los.onl","liam.kim@los.onl","FALSE","FALSE","TRUE","FALSE","FALSE"
"shared.hr@los.onl","mia.rodriguez@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
"shared.hr@los.onl","emma.foster@los.onl","FALSE","TRUE","FALSE","FALSE","FALSE"
"shared.finance@los.onl","noah.patel@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
"shared.finance@los.onl","harper.collins@los.onl","FALSE","TRUE","FALSE","FALSE","FALSE"
"shared.it@los.onl","ethan.clark@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
"shared.it@los.onl","benjamin.morris@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
"shared.projects@los.onl","isabella.ross@los.onl","TRUE","FALSE","FALSE","FALSE","TRUE"
