"MailboxIdentity","TrusteeUserPrincipalName","FolderPath","AccessRights","CalendarDelegate","CalendarCanViewPrivateItems","SendNotificationToUser"
"shared.operations@los.onl","ava.nguyen@los.onl","Calendar","Editor","TRUE","TRUE","FALSE"
"shared.operations@los.onl","mason.carter@los.onl","Inbox","Reviewer","FALSE","FALSE","FALSE"
"shared.hr@los.onl","mia.rodriguez@los.onl","Calendar","Editor","TRUE","FALSE","TRUE"
"shared.hr@los.onl","emma.foster@los.onl","Inbox","Reviewer","FALSE","FALSE","FALSE"
"shared.finance@los.onl","noah.patel@los.onl","Calendar","Editor","TRUE","FALSE","TRUE"
"shared.finance@los.onl","harper.collins@los.onl","Inbox","Reviewer","FALSE","FALSE","FALSE"
"shared.it@los.onl","ethan.clark@los.onl","Calendar","Editor","TRUE","FALSE","TRUE"
"shared.it@los.onl","benjamin.morris@los.onl","Calendar","PublishingEditor","FALSE","FALSE","FALSE"
"shared.projects@los.onl","isabella.ross@los.onl","Calendar","Editor","TRUE","TRUE","TRUE"
"shared.projects@los.onl","ava.nguyen@los.onl","Inbox","Reviewer","FALSE","FALSE","FALSE"
