"DistributionGroupIdentity","MemberUserPrincipalName","BypassSecurityGroupManagerCheck","MemberAction"
"finance-updates@los.onl","daniel.brooks@los.onl","FALSE","Add"
"finance-updates@los.onl","harper.collins@los.onl","FALSE","Add"
"finance-updates@los.onl","noah.patel@los.onl","FALSE","Add"
"hr-announcements@los.onl","emma.foster@los.onl","FALSE","Add"
"hr-announcements@los.onl","mia.rodriguez@los.onl","FALSE","Add"
"it-alerts@los.onl","benjamin.morris@los.onl","FALSE","Add"
"it-alerts@los.onl","ethan.clark@los.onl","FALSE","Add"
"it-alerts@los.onl","henry.flores@los.onl","FALSE","Add"
"it-alerts@los.onl","jackson.hall@los.onl","FALSE","Add"
"it-alerts@los.onl","logan.reed@los.onl","FALSE","Add"
"leadership-comms@los.onl","charlotte.sanders@los.onl","FALSE","Add"
"leadership-comms@los.onl","olivia.bennett@los.onl","FALSE","Add"
"marketing-updates@los.onl","evelyn.hughes@los.onl","FALSE","Add"
"marketing-updates@los.onl","sophia.turner@los.onl","FALSE","Add"
"operations-announcements@los.onl","ava.nguyen@los.onl","FALSE","Add"
"operations-announcements@los.onl","mason.carter@los.onl","FALSE","Add"
"project-steering@los.onl","isabella.ross@los.onl","FALSE","Add"
"sales-announcements@los.onl","amelia.bailey@los.onl","FALSE","Add"
"sales-announcements@los.onl","liam.kim@los.onl","FALSE","Add"
"sales-announcements@los.onl","lucas.wright@los.onl","FALSE","Add"
"operations-announcements@los.onl","mason.carter@los.onl","FALSE","Remove"
"leadership-comms@los.onl","olivia.bennett@los.onl","FALSE","Remove"
"sales-announcements@los.onl","lucas.wright@los.onl","FALSE","Remove"
"it-alerts@los.onl","logan.reed@los.onl","FALSE","Remove"
