"TeamMailNickname","ChannelDisplayName","UserPrincipalName","Role"
"q365m365hr","HR Planning","emma.foster@los.onl","Member"
"q365m365hr","HR Planning","mia.rodriguez@los.onl","Owner"
"q365m365it","IT Planning","benjamin.morris@los.onl","Member"
"q365m365it","IT Planning","ethan.clark@los.onl","Owner"
"q365m365leadership","Leadership Planning","ethan.clark@los.onl","Member"
"q365m365leadership","Leadership Planning","olivia.bennett@los.onl","Owner"
"q365m365operations","Operations Partners","ava.nguyen@los.onl","Owner"
"q365m365operations","Operations Partners","mason.carter@los.onl","Member"
"q365m365operations","Operations Planning","ava.nguyen@los.onl","Owner"
"q365m365operations","Operations Planning","mason.carter@los.onl","Member"
"q365m365projects","Projects Partners","ava.nguyen@los.onl","Member"
"q365m365projects","Projects Partners","isabella.ross@los.onl","Owner"
"q365m365projects","Projects Planning","ava.nguyen@los.onl","Member"
"q365m365projects","Projects Planning","isabella.ross@los.onl","Owner"
"q365m365sales","Sales Planning","amelia.bailey@los.onl","Member"
"q365m365sales","Sales Planning","liam.kim@los.onl","Owner"
